"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","From day one of this crisis, we have been committed to getting out the facts and data.

It takes a team to do so.… https://t.co/gBVE8vlUDq",FALSE,3056,NA,2020-04-13 19:26:23,TRUE,NA,"1249780995546591241",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",408,FALSE,FALSE,NA,NA
"2","This is new terrain for all of us.

As we make life-saving decisions there is strength in unity.

Thank you for coo… https://t.co/8Rq8ZPwNiC",FALSE,4853,NA,2020-04-13 18:16:16,TRUE,NA,"1249763348859756548",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",668,FALSE,FALSE,NA,NA
"3","ASL interpretation is available at https://t.co/pCJcBzyqvO",FALSE,169,"NYGovCuomo",2020-04-13 18:04:02,FALSE,"1249760030439739392","1249760271477997574","232268199","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",41,FALSE,FALSE,NA,NA
"4","Hosting a conference call with Governor Phil Murphy, Governor Ned Lamont, Governor Tom Wolf, Governor John Carney a… https://t.co/wGaabJavHB",FALSE,1714,NA,2020-04-13 18:03:05,TRUE,NA,"1249760030439739392",NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","NYGovCuomo",488,FALSE,FALSE,NA,NA
"5","We need to stay the course.

We have flattened the curve by our actions.

New Yorkers rose to the challenge to prot… https://t.co/Fj0h4QVXVM",FALSE,6612,NA,2020-04-13 16:05:53,TRUE,NA,"1249730538618978304",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",1075,FALSE,FALSE,NA,NA
"6","Any plan to reopen society MUST be driven by data and experts, not opinion and politics.

We will learn from the wa… https://t.co/nvRyyUsxgt",FALSE,17484,NA,2020-04-13 15:56:51,TRUE,NA,"1249728261481025536",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",3029,FALSE,FALSE,NA,NA
"7","We are in a situation that never has occurred before.

Reopening the economy is a delicate balance.

The objective… https://t.co/suauwZY6F0",FALSE,10267,NA,2020-04-13 15:49:42,TRUE,NA,"1249726464875954183",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",1757,FALSE,FALSE,NA,NA
"8","New York mourns the 671 people we lost yesterday.

We lost them on Easter Sunday. And that acute pain is deeply felt by all of us.",FALSE,18273,NA,2020-04-13 15:39:09,FALSE,NA,"1249723807184695296",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",2404,FALSE,FALSE,NA,NA
"9","Closed captioning and ASL interpretation is available at https://t.co/YjzHnxHPvN",FALSE,165,"NYGovCuomo",2020-04-13 15:32:20,FALSE,"1249721888416333826","1249722095694733329","232268199","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",29,FALSE,FALSE,NA,NA
"10","Holding a briefing with updates on #Coronavirus. Watch Live: https://t.co/XX0lC3jtqk",FALSE,1402,NA,2020-04-13 15:31:31,FALSE,NA,"1249721888416333826",NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","NYGovCuomo",483,FALSE,FALSE,NA,NA
"11","I will be giving my daily #Coronavirus briefing at 11:30AM ET. Watch here: https://t.co/Fq5qEF73TB",FALSE,1925,NA,2020-04-13 14:37:12,FALSE,NA,"1249708219133378561",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",364,FALSE,FALSE,NA,NA
"12","When things are at their worst you will see the very best and worst of people.

Sometimes it will break your heart.… https://t.co/dJRbyZt107",FALSE,23813,NA,2020-04-12 16:01:35,TRUE,NA,"1249367065905020930",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",4934,FALSE,FALSE,NA,NA
"13","NEW: I am signing an Executive Order directing employers to provide essential workers with cloth or surgical face m… https://t.co/tAYx36r8kr",FALSE,25926,NA,2020-04-12 15:57:57,TRUE,NA,"1249366152142295041",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",3984,FALSE,FALSE,NA,NA
"14","Some states, like Montana and Nebraska, are getting more than $300,000 in federal stimulus money per reported COVID… https://t.co/QVHGqhjV9q",FALSE,77337,NA,2020-04-12 15:46:29,TRUE,NA,"1249363265731297280",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",19105,FALSE,FALSE,NA,NA
"15","We deeply mourn the 758 New Yorkers we lost yesterday to COVID-19.

New York is not numb.

We know this is not just… https://t.co/JpQZ6C9Ozz",FALSE,20909,NA,2020-04-12 15:43:06,TRUE,NA,"1249362414300286976",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",2934,FALSE,FALSE,NA,NA
"16","Closed captioning and ASL interpretation is available at https://t.co/YjzHnxHPvN",FALSE,250,"NYGovCuomo",2020-04-12 15:33:01,FALSE,"1249359754415288325","1249359875911622657","232268199","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",44,FALSE,FALSE,NA,NA
"17","Holding a briefing with updates on #Coronavirus. WATCH LIVE: https://t.co/dl4jsgL7or",FALSE,1703,NA,2020-04-12 15:32:32,FALSE,NA,"1249359754415288325",NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","NYGovCuomo",488,FALSE,FALSE,NA,NA
"18","This morning we are returning 35 ventilators lent by Pathways Nursing and Rehabilitation Center to fellow New Yorke… https://t.co/0bx2EUkSn1",FALSE,36473,NA,2020-04-12 14:17:59,TRUE,NA,"1249340994270703617",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",3415,FALSE,FALSE,NA,NA
"19","Happy Easter! I will be giving my daily #Coronavirus briefing at 11:30 AM ET. 

Watch here: https://t.co/Fq5qEEPt23",FALSE,2413,NA,2020-04-12 14:13:38,FALSE,NA,"1249339900803112966",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",320,FALSE,FALSE,NA,NA
"20","From my family to yours, #HappyEaster.

While this year’s celebrations will be different, I hope that this holy day… https://t.co/NM8vDXu2GL",FALSE,22641,NA,2020-04-12 12:30:45,TRUE,NA,"1249314007825223680",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",1843,FALSE,FALSE,NA,NA
"21","We know it is challenging but for those celebrating, #Easter in-person celebrations must be held with only immediat… https://t.co/zVvHN3aJXF",FALSE,15902,NA,2020-04-11 23:26:44,TRUE,NA,"1249116704443183105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NYGovCuomo",1922,FALSE,FALSE,NA,NA
"22","Thank you to the essential workers who show up every day.

You are truly amazing, outstanding human beings, and all… https://t.co/PijojhaKg8",FALSE,12385,NA,2020-04-11 20:09:04,TRUE,NA,"1249066958202568704",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","NYGovCuomo",2089,FALSE,FALSE,NA,NA
"23","I know we all want things to go back to normal.

But the worst thing that can happen is that we make a misstep and… https://t.co/5OHHXFZCaV",FALSE,77067,NA,2020-04-11 15:55:55,TRUE,NA,"1249003253351800833",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",14371,FALSE,FALSE,NA,NA
"24","What do we do now? 

-More and faster testing
-Be better prepared 
-Federal stimulus 

When and how we reopen is bo… https://t.co/v6QPLMDpnF",FALSE,9078,NA,2020-04-11 15:53:13,TRUE,NA,"1249002572989554689",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",1525,FALSE,FALSE,NA,NA
